concurrency	ops/sec(cum)	p50(ms)	p95(ms)	p99(ms)
16.0	77774.90000000001	0.8761167142857144	2.960193571428572	10.150348
16.0	77774.90000000001	0.8761167142857144	2.960193571428572	10.150348
16.0	77774.90000000001	0.8761167142857144	2.960193571428572	10.150348
16.0	77774.90000000001	0.8761167142857144	2.960193571428572	10.150348
24.0	78835.1	0.937074	4.556738999999999	21.785243571428573
24.0	78835.1	0.937074	4.556738999999999	21.785243571428573
24.0	78835.1	0.937074	4.556738999999999	21.785243571428573
24.0	78835.1	0.937074	4.556738999999999	21.785243571428573
32.0	81472.40000000001	0.8515898571428571	6.874646	29.065070428571428
32.0	81472.40000000001	0.8515898571428571	6.874646	29.065070428571428
32.0	81472.40000000001	0.8515898571428571	6.874646	29.065070428571428
32.0	81472.40000000001	0.8515898571428571	6.874646	29.065070428571428
40.0	81553.03333333333	0.9067694285714286	9.049612142857143	35.11104914285714
40.0	81553.03333333333	0.9067694285714286	9.049612142857143	35.11104914285714
40.0	81553.03333333333	0.9067694285714286	9.049612142857143	35.11104914285714
40.0	81553.03333333333	0.9067694285714286	9.049612142857143	35.11104914285714
47.0	82778.79999999999	0.8668712857142857	11.241438571428573	40.905083285714284
47.0	82778.79999999999	0.8668712857142857	11.241438571428573	40.905083285714284
47.0	82778.79999999999	0.8668712857142857	11.241438571428573	40.905083285714284
48.0	82876.0	0.896058	11.650298714285713	41.41756285714286
48.0	82876.0	0.896058	11.650298714285713	41.41756285714286
48.0	82876.0	0.896058	11.650298714285713	41.41756285714286
48.0	82876.0	0.896058	11.650298714285713	41.41756285714286
51.0	83739.96666666666	0.8947925714285716	12.415358	42.94661285714285
51.0	83739.96666666666	0.8947925714285716	12.415358	42.94661285714285
51.0	83739.96666666666	0.8947925714285716	12.415358	42.94661285714285
55.0	83612.8	0.871037	14.250863571428571	46.332069
55.0	83612.8	0.871037	14.250863571428571	46.332069
55.0	83612.8	0.871037	14.250863571428571	46.332069
56.0	83976.86666666667	0.9114724285714286	14.750912142857144	45.77238471428571
56.0	83976.86666666667	0.9114724285714286	14.750912142857144	45.77238471428571
56.0	83976.86666666667	0.9114724285714286	14.750912142857144	45.77238471428571
56.0	83976.86666666667	0.9114724285714286	14.750912142857144	45.77238471428571
58.0	84133.43333333333	0.9145770000000001	15.353335142857146	45.83320585714286
58.0	84133.43333333333	0.9145770000000001	15.353335142857146	45.83320585714286
59.0	83807.3	0.9731270000000001	15.757361	47.723112428571426
59.0	83807.3	0.9731270000000001	15.757361	47.723112428571426
59.0	83807.3	0.9731270000000001	15.757361	47.723112428571426
59.0	84185.76666666668	0.8756975714285714	15.578047571428572	48.470532142857145
60.0	83710.30000000002	0.9290931428571428	16.240634571428572	48.64721371428572
60.0	83710.30000000002	0.9290931428571428	16.240634571428572	48.64721371428572
60.0	84330.56666666667	0.8867192857142857	15.662297142857142	50.47526571428572
61.0	84242.96666666667	0.8784702857142858	15.691505428571427	51.54407728571429
62.0	84766.50000000001	0.9119614285714287	17.087473142857142	47.96586442857143
62.0	84766.50000000001	0.9119614285714287	17.087473142857142	47.96586442857143
62.0	84363.53333333334	0.8837862857142857	16.817369285714285	50.46588642857143
63.0	84750.46666666667	0.9288365714285715	17.359096571428573	49.61468828571429
63.0	84750.46666666667	0.9288365714285715	17.359096571428573	49.61468828571429
63.0	84750.46666666667	0.9288365714285715	17.359096571428573	49.61468828571429
63.0	84190.59999999999	0.8603237142857143	17.063408714285714	52.313181
64.0	84713.93333333333	0.8721552857142859	17.874286714285713	51.44163771428572
64.0	84713.93333333333	0.8721552857142859	17.874286714285713	51.44163771428572
66.0	84175.63333333333	0.9626381428571429	18.12253671428571	52.733055285714286
66.0	84175.63333333333	0.9626381428571429	18.12253671428571	52.733055285714286
