concurrency	ops/sec(cum)	p50(ms)	p95(ms)	p99(ms)
15.0	67562.35	0.8901630000000001	2.833134857142857	17.678563571428572
15.0	67562.35	0.8901630000000001	2.833134857142857	17.678563571428572
15.0	67562.35	0.8901630000000001	2.833134857142857	17.678563571428572
16.0	68205.25	0.9901465714285715	2.9449394285714283	17.65620557142857
16.0	68205.25	0.9901465714285715	2.9449394285714283	17.65620557142857
16.0	68205.25	0.9901465714285715	2.9449394285714283	17.65620557142857
16.0	68205.25	0.9901465714285715	2.9449394285714283	17.65620557142857
19.0	68371.7	1.2157708571428572	5.175012142857143	18.223792
19.0	68371.7	1.2157708571428572	5.175012142857143	18.223792
19.0	68371.7	1.2157708571428572	5.175012142857143	18.223792
23.0	69029.0	1.4522675714285713	9.716558857142857	19.65429328571429
23.0	69029.0	1.4522675714285713	9.716558857142857	19.65429328571429
23.0	69029.0	1.4522675714285713	9.716558857142857	19.65429328571429
24.0	68824.65	1.5218407142857144	10.819203285714284	19.86711442857143
24.0	68824.65	1.5218407142857144	10.819203285714284	19.86711442857143
24.0	68824.65	1.5218407142857144	10.819203285714284	19.86711442857143
24.0	68824.65	1.5218407142857144	10.819203285714284	19.86711442857143
26.0	69119.65	1.678573714285714	12.446500571428572	20.36046657142857
26.0	69119.65	1.678573714285714	12.446500571428572	20.36046657142857
27.0	69065.65000000001	1.6405505714285713	13.498176571428571	20.823054000000003
27.0	69065.65000000001	1.6405505714285713	13.498176571428571	20.823054000000003
27.0	69065.65000000001	1.6405505714285713	13.498176571428571	20.823054000000003
28.0	68388.05	1.8375649999999997	13.889578571428572	21.694748428571433
28.0	68388.05	1.8375649999999997	13.889578571428572	21.694748428571433
28.0	68785.3	1.7354987142857143	13.945740714285714	21.40645685714286
29.0	68736.1	1.8667391428571427	14.374714428571432	21.744713285714287
30.0	69028.29999999999	1.8596461428571427	14.845605857142859	21.822195714285716
30.0	69028.29999999999	1.8596461428571427	14.845605857142859	21.822195714285716
30.0	68740.45	1.956076	14.634077857142858	21.927063142857143
31.0	69272.5	1.8829902857142857	15.30339942857143	22.171804714285717
31.0	69272.5	1.8829902857142857	15.30339942857143	22.171804714285717
31.0	69272.5	1.8829902857142857	15.30339942857143	22.171804714285717
31.0	68988.35	2.0241907142857145	14.888367714285712	22.038096
32.0	68801.25	2.1326572857142856	15.614019000000003	22.210586857142857
32.0	68801.25	2.1326572857142856	15.614019000000003	22.210586857142857
32.0	68801.25	2.1326572857142856	15.614019000000003	22.210586857142857
32.0	68533.7	2.119494714285714	15.02474657142857	22.002267142857143
32.0	68801.25	2.1326572857142856	15.614019000000003	22.210586857142857
32.0	68533.7	2.119494714285714	15.02474657142857	22.002267142857143
32.0	68993.95	2.1263775714285713	15.395758285714285	22.090579714285717
34.0	68662.35	2.159595285714286	16.234102428571425	22.569364571428572
34.0	68662.35	2.159595285714286	16.234102428571425	22.569364571428572
40.0	68332.55	2.7595538571428575	17.973969428571426	23.405185857142857
40.0	68332.55	2.7595538571428575	17.973969428571426	23.405185857142857
40.0	68332.55	2.7595538571428575	17.973969428571426	23.405185857142857
40.0	68332.55	2.7595538571428575	17.973969428571426	23.405185857142857
48.0	68223.45	3.191451428571429	19.083874714285713	25.209662428571423
48.0	68223.45	3.191451428571429	19.083874714285713	25.209662428571423
48.0	68223.45	3.191451428571429	19.083874714285713	25.209662428571423
48.0	68223.45	3.191451428571429	19.083874714285713	25.209662428571423
56.0	68059.59999999999	3.6962731428571423	19.95682442857143	26.428160285714284
56.0	68059.59999999999	3.6962731428571423	19.95682442857143	26.428160285714284
56.0	68059.59999999999	3.6962731428571423	19.95682442857143	26.428160285714284
56.0	68059.59999999999	3.6962731428571423	19.95682442857143	26.428160285714284
