ops/sec(cum)	p50(ms)	p99(ms)	skews
32585.0	6.499999999999999	18.2	0
39112.5	7.5875	25.4375	0.7
57034.9	5.3999999999999995	22.549999999999997	0.9
69793.0	4.3625	18.75	0.99
87791.1	3.8	14.600000000000001	1.1
102178.4	2.375	8.45	1.2
110788.80000000002	2.4750000000000005	8.5625	1.3
114500.19999999998	2.4000000000000004	8.3125	1.4
